order_id,Category,Menu_Item,Price,Quantity,Total_Item_Price,date,time
ORD1070,Sides,Raita,18,1,18,01-01-2024,10:25:00
ORD1964,Beverages,Cold Drink,20,1,20,01-01-2024,10:37:00
ORD1030,Street Food,Pav Bhaji,69,2,138,01-01-2024,10:39:00
ORD0240,Main Course,Veg Pulao,57,1,57,01-01-2024,10:41:00
ORD0306,Beverages,Coffee,19,2,38,01-01-2024,10:52:00
ORD0478,Main Course,Dal Makhani,64,2,128,01-01-2024,10:54:00
ORD1028,Sides,French Fries,34,2,68,01-01-2024,11:39:00
ORD1610,Sides,Manchurian,54,1,54,01-01-2024,13:15:00
ORD1722,Sides,Jeera Rice,35,3,105,01-01-2024,13:18:00
ORD1542,Main Course,Chicken Sandwich,66,3,198,01-01-2024,13:25:00
ORD1745,Sides,Roti,12,2,24,01-01-2024,14:02:00
ORD0754,Sides,Roti,12,2,24,01-01-2024,14:15:00
ORD1521,Main Course,Poha,21,1,21,01-01-2024,14:53:00
ORD1868,Main Course,Chicken Sandwich,66,2,132,01-01-2024,14:58:00
ORD1503,Beverages,Coffee,19,3,57,01-01-2024,15:13:00
ORD0335,Beverages,Tea,12,1,12,01-01-2024,15:16:00
ORD1296,Sides,Roti,12,1,12,01-01-2024,15:18:00
ORD0523,Sides,French Fries,34,1,34,01-01-2024,15:19:00
ORD0366,Main Course,Egg Curry,40,3,120,01-01-2024,15:27:00
ORD0272,Sides,Roti,12,3,36,01-01-2024,15:37:00
ORD1763,Main Course,Veg Fried Rice,53,3,159,01-01-2024,15:54:00
ORD0097,Sides,Raita,18,2,36,01-01-2024,16:07:00
ORD0482,Street Food,Vada Pav,12,2,24,01-01-2024,16:16:00
ORD1200,Street Food,Pani Puri,21,2,42,01-01-2024,16:16:00
ORD1550,Beverages,Coffee,19,2,38,01-01-2024,16:19:00
ORD1815,Beverages,Coffee,19,2,38,01-01-2024,16:21:00
ORD0143,Sides,Jeera Rice,35,2,70,01-02-2024,11:01:00
ORD1629,Street Food,Misal Pav,60,1,60,01-02-2024,11:44:00
ORD1311,Sides,French Fries,34,3,102,01-02-2024,11:54:00
ORD0424,Sides,French Fries,34,2,68,01-02-2024,11:55:00
ORD1735,Street Food,Misal Pav,60,1,60,01-02-2024,11:58:00
ORD0725,Sides,Raita,18,2,36,01-02-2024,12:55:00
ORD1743,Main Course,Chicken Biryani,89,2,178,01-02-2024,13:07:00
ORD0973,Beverages,Tea,12,1,12,01-02-2024,13:12:00
ORD1220,Main Course,Poha,21,1,21,01-02-2024,13:16:00
ORD0634,Street Food,Misal Pav,60,3,180,01-02-2024,13:43:00
ORD0620,Sides,Raita,18,1,18,01-02-2024,13:52:00
ORD0327,Beverages,Coffee,19,3,57,01-02-2024,14:16:00
ORD0867,Street Food,Pani Puri,21,3,63,01-02-2024,14:17:00
ORD0886,Street Food,Samosa,13,1,13,01-02-2024,14:18:00
ORD1908,Street Food,Pav Bhaji,69,2,138,01-02-2024,14:50:00
ORD1071,Beverages,Coffee,19,1,19,01-02-2024,15:36:00
ORD0673,Main Course,Egg Curry,40,2,80,01-02-2024,15:49:00
ORD1482,Main Course,Chicken Sandwich,66,3,198,01-02-2024,16:10:00
ORD1893,Main Course,Veg Pulao,57,2,114,01-03-2024,10:09:00
ORD1844,Main Course,Veg Fried Rice,53,2,106,01-03-2024,10:12:00
ORD0659,Beverages,Tea,12,2,24,01-03-2024,11:12:00
ORD0946,Main Course,Veg Pulao,57,1,57,01-03-2024,11:14:00
ORD1907,Main Course,Veg Fried Rice,53,2,106,01-03-2024,11:14:00
ORD0626,Beverages,Coffee,19,2,38,01-03-2024,11:31:00
ORD1923,Beverages,Coffee,19,2,38,01-03-2024,11:35:00
ORD1485,Sides,French Fries,34,3,102,01-03-2024,11:49:00
ORD0192,Main Course,Chicken Sandwich,66,3,198,01-03-2024,12:01:00
ORD1112,Sides,Manchurian,54,1,54,01-03-2024,12:05:00
ORD0422,Sides,French Fries,34,2,68,01-03-2024,12:49:00
ORD0722,Sides,French Fries,34,1,34,01-03-2024,12:57:00
ORD1066,Sides,Manchurian,54,1,54,01-03-2024,12:57:00
ORD0006,Main Course,Veg Fried Rice,53,2,106,01-03-2024,12:58:00
ORD0893,Beverages,Tea,12,1,12,01-03-2024,12:58:00
ORD0004,Beverages,Cold Drink,20,2,40,01-03-2024,13:08:00
ORD1008,Main Course,Veg Pulao,57,1,57,01-03-2024,13:12:00
ORD0159,Beverages,Tea,12,3,36,01-03-2024,13:20:00
ORD1616,Beverages,Coffee,19,1,19,01-03-2024,13:31:00
ORD0602,Street Food,Vada Pav,12,1,12,01-03-2024,14:07:00
ORD1372,Main Course,Veg Fried Rice,53,3,159,01-03-2024,14:57:00
ORD0386,Street Food,Samosa,13,1,13,01-03-2024,15:02:00
ORD1371,Sides,Roti,12,1,12,01-03-2024,15:10:00
ORD1960,Street Food,Pav Bhaji,69,3,207,01-03-2024,15:13:00
ORD0212,Main Course,Dal Makhani,64,1,64,01-03-2024,15:29:00
ORD0235,Main Course,Chicken Fried Rice,71,2,142,01-03-2024,16:22:00
ORD0761,Sides,French Fries,34,3,102,01-03-2024,16:30:00
ORD0277,Sides,Raita,18,3,54,01-03-2024,16:35:00
ORD1774,Beverages,Coffee,19,2,38,01-03-2024,16:35:00
ORD1205,Main Course,Veg Fried Rice,53,3,159,01-03-2024,16:37:00
ORD1307,Sides,Raita,18,1,18,01-03-2024,16:43:00
ORD1905,Beverages,Coffee,19,3,57,01-04-2024,10:13:00
ORD1633,Main Course,Egg Curry,40,3,120,01-04-2024,10:16:00
ORD0410,Street Food,Pav Bhaji,69,3,207,01-04-2024,11:10:00
ORD0107,Beverages,Cold Drink,20,2,40,01-04-2024,11:28:00
ORD0120,Beverages,Tea,12,3,36,01-04-2024,11:31:00
ORD0636,Beverages,Tea,12,1,12,01-04-2024,11:34:00
ORD0861,Beverages,Coffee,19,3,57,01-04-2024,11:45:00
ORD1865,Sides,French Fries,34,2,68,01-04-2024,11:58:00
ORD1114,Beverages,Cold Drink,20,1,20,01-04-2024,12:04:00
ORD0730,Street Food,Samosa,13,1,13,01-04-2024,12:31:00
ORD0916,Street Food,Vada Pav,12,1,12,01-04-2024,12:50:00
ORD1619,Sides,Roti,12,1,12,01-04-2024,13:14:00
ORD0866,Sides,Raita,18,1,18,01-04-2024,14:36:00
ORD0594,Street Food,Pav Bhaji,69,1,69,01-04-2024,14:46:00
